ref:ine;name;@type;@id;@lat;@lon
47163000201;Tiedra;node;34095249;41.6524191;-5.2675586
47044000101;Castronuevo de Esgueva;node;34095251;41.6810453;-4.5878502
47164000101;Tordehumos;node;34095253;41.8144410;-5.1576521
47043000101;Castromonte;node;34095255;41.7732772;-5.0403843
47161000107;Simancas;node;34095259;41.5902895;-4.8268115
47042000101;Castromembibre;node;34095260;41.6724619;-5.3047229
47162000101;Tamariz de Campos;node;34095262;41.9762331;-5.0242030
47041000101;Castrodeza;node;34095266;41.6485234;-4.9595968
47166000101;Torrecilla de la Abadesa;node;34095268;41.4847317;-5.0865117
47048000101;Ceinos de Campos;node;34095270;42.0321225;-5.1501864
47167000101;Torrecilla de la Orden;node;34095272;41.2195826;-5.2238078
47047000101;Castroverde de Cerrato;node;34095274;41.7564594;-4.2211944
47169000101;Torre de Esgueva;node;34095276;41.7683027;-4.1998757
47046000101;Castroponce;node;34095278;42.1265987;-5.1828867
47170000201;Torre de Peñafiel;node;34095280;41.5366171;-4.0885448
47045000201;Castronuño;node;34095283;41.3887733;-5.2633186
47052000101;La Cistérniga;node;34095285;41.6121464;-4.6851558
47154000101;Santibáñez de Valcorba;node;34095287;41.5709790;-4.4496476
47051000101;Ciguñuela;node;34095289;41.6403944;-4.8564949
47155000101;Santovenia de Pisuerga;node;34095291;41.6936510;-4.6895991
47050000101;Cigales;node;34095294;41.7582863;-4.6989785
47153000101;Santervás de Campos;node;34095295;42.2175962;-5.0992819
47049000101;Cervillego de la Cruz;node;34095297;41.1874001;-4.9498759
47145000201;Santiago del Arroyo;node;34095299;41.4522028;-4.5196644
47056000101;Corrales de Duero;node;34095301;41.6713964;-4.0485657
47159000101;Serrada;node;34095302;41.4569440;-4.8625389
47055000201;Corcos del Valle;node;34095304;41.8098770;-4.6932238
47160000101;Siete Iglesias de Trabancos;node;34095306;41.3517512;-5.1846146
47054000101;Cogeces del Monte;node;34095308;41.5102875;-4.3169200
47157000201;Sardón de Duero;node;34095309;41.6085193;-4.4339323
47053000101;Cogeces de Íscar;node;34095311;41.4062774;-4.5452791
47158000101;La Seca;node;34095313;41.4144224;-4.9071263
47060000101;Encinas de Esgueva;node;34095315;41.7568949;-4.1034145
47182000101;Valdestillas;node;34095316;41.4768774;-4.7707764
47061000101;Esguevillas de Esgueva;node;34095318;41.7508298;-4.3796295
47181000101;Valdenebro de los Valles;node;34095320;41.8560793;-4.9691952
47062000101;Fombellida;node;34095322;41.7673325;-4.1855457
47184000201;Valoria la Buena;node;34095323;41.7999746;-4.5299579
47063000101;Fompedraza;node;34095325;41.5348052;-4.1456340
47178000101;Urueña;node;34095330;41.7266675;-5.2030230
47057000101;Cubillas de Santa Marta;node;34095332;41.8341232;-4.6134628
47177000101;Urones de Castroponce;node;34095334;42.0985572;-5.2819753
47058000101;Cuenca de Campos;node;34095336;42.0585105;-5.0547427
47180000101;Valdearcos de la Vega;node;34095337;41.6426037;-4.0483220
47059000101;Curiel de Duero;node;34095339;41.6401393;-4.0992767
47179000301;Valbuena de Duero;node;34095341;41.6422564;-4.2928336
47174000101;Trigueros del Valle;node;34095343;41.8300568;-4.6526122
47068000101;Fuente Olmedo;node;34095344;41.2436986;-4.6469860
47173000101;Traspinedo;node;34095346;41.5759433;-4.4746989
47069000101;Gallegos de Hornija;node;34095348;41.6095336;-5.0979005
47176000101;La Unión de Campos;node;34095349;42.0768010;-5.3262064
47070000101;Gatón de Campos;node;34095351;42.0501045;-4.9798355
47175000301;Tudela de Duero;node;34095352;41.5837494;-4.5796496
47071000101;Geria;node;34095354;41.5789122;-4.8756666
47139000301;Torrecilla del Valle;node;34095356;41.3721722;-5.0121181
47139000101;Foncastín;node;34095357;41.4355527;-5.0182207
47168000101;Torrecilla de la Torre;node;34095359;41.6665859;-5.0494130
47064000101;Fontihoyuelo;node;34095361;42.1620231;-5.0579640
47172000201;Torrescárcela;node;34095363;41.4847603;-4.3188459
47065000101;Fresno el Viejo;node;34095364;41.1962185;-5.1463866
47171000201;Torrelobatón;node;34095366;41.6490374;-5.0250798
47067000101;Fuente el Sol;node;34095367;41.1763482;-4.9346829
47141000101;Honcalada;node;34095368;41.1544987;-4.8516865
47197000101;Villabrágima;node;34095370;41.8228300;-5.1149800
47073000101;Herrín de Campos;node;34095372;42.1247742;-4.9517227
47198000101;Villacarralón;node;34095373;42.1895019;-5.0425144
47074000101;Hornillos de Eresma;node;34095375;41.3667221;-4.7179864
47199000101;Villacid de Campos;node;34095380;42.0827855;-5.1241540
47200000101;Villaco;node;34095382;41.7411200;-4.2668200
47026000201;Gordaliza de la Loma;node;34095383;42.1326148;-5.1355069
47193000101;Viana de Cega;node;34095384;41.5287400;-4.7520700
47085000101;Gomeznarro;node;34095385;41.2503568;-4.8430254
47194000101;Viloria;node;34095387;41.4453920;-4.3827406
47175000101;Herrera de Duero;node;34095388;41.5634633;-4.6533821
47195000101;Villabáñez;node;34095389;41.6302404;-4.5220775
47184000101;Granja Muedra;node;34095390;41.7806523;-4.5831465
47189000101;Velascálvaro;node;34095392;41.2302923;-4.9717742
47079000101;Llano de Olmedo;node;34095393;41.2674383;-4.6140430
47190000101;Velilla;node;34095394;41.5585623;-5.0048279
47078000101;Lomoviejo;node;34095396;41.1499680;-4.9169301
47191000101;Velliza;node;34095397;41.5795150;-4.9475147
47081000101;Marzales;node;34095434;41.5873694;-5.1330732
47192000101;Ventosa de la Cuesta;node;34095436;41.4110003;-4.8292775
47080000101;Manzanillo;node;34095437;41.5863430;-4.1890380
47185000101;Valverde de Campos;node;34095438;41.8348449;-5.0371188
47187000101;Vega de Ruiponce;node;34095443;42.1876793;-5.1158472
47075000101;Íscar;node;34095446;41.3634512;-4.5338953
47188000101;Vega de Valdetronco;node;34095448;41.5943975;-5.1134562
47077000101;Langayo;node;34095449;41.5695574;-4.1981884
47179000401;Vega Sicilia;node;34095450;41.6292964;-4.2937760
47076000301;Laguna de Duero;node;34095466;41.5828110;-4.7214404
47114000201;Mélida;node;34095479;41.5807535;-4.0773347
47213000101;Villalbarba;node;34095503;41.6044064;-5.2123770
47090000205;Mojados;node;34095508;41.4305877;-4.6643660
47212000501;Villalba de los Alcores;node;34095760;41.8636295;-4.8591040
47088000101;Melgar de Abajo;node;34095765;42.2432398;-5.1421583
47211000101;Villalba de la Loma;node;34095770;42.1745783;-5.1902681
47089000101;Melgar de Arriba;node;34095775;42.2679286;-5.0948712
47082000102;Villalba de Adaja;node;34095780;41.3863982;-4.7748940
47084000101;Mayorga;node;34095784;42.1666301;-5.2626995
47210000101;Villalar de los Comuneros;node;34095788;41.5501138;-5.1379592
47087000101;Megeces;node;34095792;41.4069474;-4.5670892
47209000101;Villalán de Campos;node;34095797;42.0141638;-5.2360874
47082000101;Matapozuelos;node;34095801;41.4139112;-4.7900363
47208000101;Villagómez la Nueva;node;34095806;42.1557798;-5.1422017
